sampleName	replicate	plantLine
Control	Col_0_GFP_1	Col_0_GFP
Control	Col_0_GFP_2	Col_0_GFP
Control	Col_0_GFP_3	Col_0_GFP
Mlp52166	AT_11_521_1	AT_11_521
Mlp52166	AT_11_521_2	AT_11_521
Mlp52166	AT_11_521_3	AT_11_521
Mlp52166	AT_11_521_4	AT_11_521
Mlp52166	AT_11_521_5	AT_11_521
Mlp52166	AT2_1_521_1	AT2_1_521
Mlp52166	AT2_1_521_2	AT2_1_521
Mlp52166	AT2_1_521_3	AT2_1_521
Mlp52166	AT2_1_521_4	AT2_1_521
Mlp52166	AT2_1_521_5	AT2_1_521
Mlp72983	AT2_14_729_1	AT2_14_729
Mlp72983	AT2_14_729_2	AT2_14_729
Mlp72983	AT2_14_729_3	AT2_14_729
Mlp72983	AT2_14_729_4	AT2_14_729
Mlp72983	AT2_14_729_5	AT2_14_729
Mlp72983	AT2_2_729_1	AT2_2_729
Mlp72983	AT2_2_729_2	AT2_2_729
Mlp72983	AT2_2_729_3	AT2_2_729
Mlp72983	AT2_2_729_4	AT2_2_729
Mlp72983	AT2_2_729_5	AT2_2_729
